,delta_An,delta_An,delta_An,delta_An,delta_biomass,delta_biomass,delta_biomass,delta_biomass,delta_WUE,delta_WUE,delta_WUE,delta_WUE,delta_NUE,delta_NUE,delta_NUE,delta_NUE
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
soilN_bin,,,,,,,,,,,,,,,,
0,0.020933085971810993,0.015513492862886974,0.025997902252885386,1500,0.007691929300935879,0.005164013960908154,0.014013427332433,1500,0.028106462978898964,0.015780742183419502,0.045068239092015024,1500,0.006562859764048518,0.0050446725843917226,0.007349011385912026,1500
1,0.021485641635689907,0.015938433307048867,0.025448115961915405,1500,0.0071021615534263135,0.004675946399672549,0.014444022762356292,1500,0.026669503381391915,0.015396254299912732,0.043193443672307756,1500,0.008430048050469296,0.0064966810961196095,0.00937718162971549,1500
2,0.02059035516948249,0.014546926422111965,0.02511021268083738,1500,0.007042893021793821,0.004665592883148252,0.013326496176362489,1500,0.027665761265998852,0.016091097702958974,0.0424863121672325,1500,0.008927351099126568,0.006757601138190725,0.010450556752519956,1500
3,0.022113175036445307,0.015644347362330946,0.026220668900425684,1500,0.007882443119550076,0.005688716809855346,0.014381656882549663,1500,0.027145454078023146,0.0159601375813459,0.04529640679671346,1500,0.00985196759816903,0.00766865919633423,0.010852530602128633,1500
