,delta_An,delta_An,delta_An,delta_An,delta_biomass,delta_biomass,delta_biomass,delta_biomass,delta_WUE,delta_WUE,delta_WUE,delta_WUE,delta_NUE,delta_NUE,delta_NUE,delta_NUE
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
light_bin,,,,,,,,,,,,,,,,
0,0.011880418090594458,0.008784254864278335,0.013525941899079338,1200,0.003888366646608039,0.0029101842658968737,0.007066032173486276,1200,0.02572690853921706,0.01621052458635712,0.03996972094501484,1200,0.004602929109542474,0.003618560054865657,0.005032274114671864,1200
1,0.01753840745099469,0.014074401183245072,0.020157891402075957,1200,0.006113294540759471,0.0045474246065327975,0.011359931868722955,1200,0.02758491466326385,0.015556500976426774,0.0449369545797953,1200,0.007186252727721424,0.005908283997879366,0.007641614756808277,1200
2,0.023359787048154,0.017369196855346825,0.026726481737853018,1200,0.00867388790342652,0.006300668461782573,0.014723469986897083,1200,0.02890409326821518,0.01646237132506334,0.04518658065967088,1200,0.009356556652434718,0.007335829718625363,0.009858360374630972,1200
3,0.0262196788440928,0.018696700348190057,0.029910095720290217,1200,0.008631699596736563,0.005764724895961901,0.016862935482227313,1200,0.029814324606467685,0.017433983240388015,0.04759410169061046,1200,0.01025313162086405,0.00793736936511026,0.011341218142384639,1200
4,0.027404530832949914,0.022388464259071608,0.030613869649513244,1200,0.00984203505710202,0.007245229950243071,0.01686413100130342,1200,0.024953736053227326,0.013613793498519537,0.04188448038864273,1200,0.010816413029204103,0.00890166099450877,0.011524766427390141,1200
