,delta_An,delta_An,delta_An,delta_An,delta_biomass,delta_biomass,delta_biomass,delta_biomass,delta_WUE,delta_WUE,delta_WUE,delta_WUE,delta_NUE,delta_NUE,delta_NUE,delta_NUE
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
vpd_bin,,,,,,,,,,,,,,,,
0,0.02063870827199808,0.014355860965451321,0.02581061834303847,1500,0.007950042989341604,0.005451028316233356,0.01477843143819866,1500,0.045766149847550015,0.028028046417421112,0.06637139494103296,1500,0.008210687824990313,0.006072617475343045,0.009744563068759657,1500
1,0.021387513887982598,0.014684706238689095,0.026263756039059574,1500,0.007246669679272389,0.004656273322377339,0.014680990551225006,1500,0.028537544833487322,0.01853589023703249,0.03979583815688389,1500,0.00845700196990552,0.006359665280060789,0.00966123546761911,1500
2,0.022470333148946985,0.016871547670908538,0.026008893620599972,1500,0.007506038322568866,0.005095347012508057,0.014081022168684412,1500,0.019314328803750936,0.01332354822151266,0.02718007442824749,1500,0.008890577332176113,0.006788945976768112,0.009787442389859694,1500
3,0.020625702504501034,0.014919540680827174,0.024661150217422885,1500,0.00701667600452323,0.004774456938787752,0.012540924654639657,1500,0.0159691582195246,0.010329129685781202,0.02218567665022786,1500,0.008213959384741468,0.006273650018674928,0.009502242731113253,1500
